Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
Boston Celtics,41,29,12,0.707,48.5,118.5,42.1,88.1,47.8,15.5,41.7,37.1,18.9,22.9,82.6,9.2,34.8,44,26.7,13.6,6.5,5.4,3.7,19,20.1,5.9
Brooklyn Nets,40,27,13,0.675,48.1,114.6,43,84,51.2,12.2,31.1,39.2,16.5,20.5,80.2,7.5,33,40.5,26.4,14.6,7.1,7,3.8,21.7,18.2,4
Denver Nuggets,40,27,13,0.675,48.3,116.8,43.8,86.3,50.8,12.2,30.6,39.9,17.1,22.7,75.4,10.2,33.3,43.5,28.7,15.3,7.1,4.4,4.5,19.4,20.4,3.2
Memphis Grizzlies,40,27,13,0.675,48.3,116.4,43.5,92.7,46.9,11.4,33.2,34.4,18.1,25.4,71,13.2,35.9,49,25.3,14.4,7.9,6,5.1,19.9,21.6,5
Milwaukee Bucks,40,26,14,0.65,48.5,112.4,40.8,89.7,45.4,13.2,38.4,34.4,17.6,23.8,74.1,12.3,37,49.3,24.5,15.7,6.5,5.4,4.5,18.6,19.5,1.3
Philadelphia 76ers,40,25,15,0.625,48.6,113.7,40.7,84.7,48,12.7,33.5,38,19.6,23.9,82.3,8.6,32.3,40.9,24.9,14.2,8.3,5,5,20.6,19.6,4.3
Cleveland Cavaliers,42,26,16,0.619,48.8,111.5,40.7,84.5,48.1,11.6,31.9,36.3,18.6,23.9,77.9,9.7,32.9,42.5,23.5,14.1,6.6,4.2,4.3,19,21.3,4.8
New Orleans Pelicans,41,25,16,0.61,48.7,117.4,42.8,89.2,47.9,11.2,30.8,36.5,20.7,26.4,78.2,11.9,33.7,45.5,26,15.2,8.7,4.4,5.4,20.6,21.4,4.4
Indiana Pacers,41,23,18,0.561,48.1,115.6,41.2,89.1,46.3,14.4,38.8,37,18.8,23.5,80,9.7,32.3,42,26.9,15.1,8,5.9,5,21.6,20.2,0
Dallas Mavericks,42,23,19,0.548,48.6,112.1,38.8,82.8,46.9,14.6,40.9,35.7,19.9,26.7,74.7,7.7,31.1,38.8,21.7,12.4,6.9,4.1,4,20.9,22.8,1.1
Sacramento Kings,39,21,18,0.538,48.1,118.8,43,87.7,49,13.4,36.9,36.2,19.5,24.7,78.8,8.9,33.1,41.9,26.9,14.6,6.9,3.2,4.5,20.8,21.3,1.7
New York Knicks,41,22,19,0.537,48.6,114,41.2,90.4,45.5,11.9,35.2,33.9,19.7,25.4,77.6,13,34.1,47.2,22.9,13.4,6.6,4.2,4.5,20.8,21.3,2.7
Miami Heat,42,22,20,0.524,48.4,108.8,39,86.5,45.1,12.3,36.3,33.9,18.5,22.4,82.6,9.8,30.9,40.7,23.6,13.5,8.4,3.1,4,19.2,20,-0.2
LA Clippers,43,22,21,0.512,48.2,109.2,39.3,85.3,46,12.4,33.5,36.9,18.3,23.9,76.3,10,34.1,44.2,22.9,15,6.7,4.6,4.5,19.8,19.6,-0.8
Phoenix Suns,42,21,21,0.5,48.4,113,41.8,89.9,46.5,13,33.8,38.4,16.5,20.7,79.9,11.9,31.3,43.2,26.5,14,7,5,4.1,21.1,19.8,2
Golden State Warriors,41,20,21,0.488,48.4,116.7,42.3,90,47,16.1,43.4,37.2,16,20.1,79.6,10.1,33.8,43.9,29.1,16.8,6.8,3.9,4.2,22,18.6,-1
Minnesota Timberwolves,41,20,21,0.488,48.1,114.7,42.4,86.2,49.1,11.1,32.3,34.3,18.9,24.3,77.6,9.1,32.9,42,25.4,16,8.1,5.3,4,22,20.8,-0.3
Utah Jazz,44,21,23,0.477,48.3,117.5,42.3,89.6,47.2,14.4,39.9,36.2,18.5,23.5,78.8,11.6,32.1,43.8,26.2,15.3,7,4.6,4.8,21,21.2,0.7
Atlanta Hawks,40,19,21,0.475,48.6,115.3,43.5,92.8,46.9,10.3,31,33.1,18,22,81.8,10.6,33.5,44.1,24,12.9,7.1,5.1,5.3,19.4,20.3,-1.2
Portland Trail Blazers,40,19,21,0.475,48.3,112.1,40.2,84.4,47.6,12.4,33.3,37.2,19.4,25.1,77.2,10.8,32.6,43.4,24.2,15.8,6.7,4.2,4.5,20.8,21.8,0.1
Chicago Bulls,41,19,22,0.463,48.6,114.7,42.6,87.2,48.9,10.8,28.8,37.6,18.6,22.8,81.5,8.5,33.9,42.3,24.4,13.7,7.4,4.7,5.2,19.9,19.1,-0.6
Los Angeles Lakers,41,19,22,0.463,48.4,116.7,43.1,88.7,48.6,10.4,30.5,34.1,20.1,25.2,79.5,9.3,35.6,45,25,14.9,6.7,4.7,5.1,18.6,21,-1.2
Oklahoma City Thunder,41,18,23,0.439,48.7,116.3,43.1,93,46.4,12,33.8,35.5,18.1,23,78.9,11.6,32.7,44.3,24.3,14.1,8.1,5.1,5.4,22,19.9,-0.2
Toronto Raptors,41,18,23,0.439,48.4,111.7,40.4,90.3,44.8,10.8,32.7,33,20,25.1,79.6,12.6,30.1,42.6,23,12.1,9.3,5.1,4.5,20.7,21,0.3
Washington Wizards,41,17,24,0.415,48.2,112.1,41.8,86.7,48.2,10.8,31.4,34.4,17.7,23,77,9.3,34.5,43.8,25,14.2,6.9,5.4,4.5,19.4,19.5,-1.5
Orlando Magic,42,16,26,0.381,48.2,110.4,39.9,84.9,47,10.7,31.1,34.4,19.9,25.1,79.3,9.9,33.1,43,22.2,15.5,6.9,4.7,4.9,20.7,20.1,-3.8
San Antonio Spurs,41,13,28,0.317,48.1,112,42.8,90.6,47.3,10.9,31.7,34.5,15.5,21,73.8,11.9,30.9,42.8,27,15.9,7,4.1,4.4,20.1,19,-8.6
Charlotte Hornets,42,11,31,0.262,48.7,112.1,41.8,93.3,44.8,11,33.7,32.7,17.5,23.3,74.9,12.5,33.1,45.6,25.3,13.8,7.9,5,6.3,21.3,20.7,-6.4
Detroit Pistons,44,11,33,0.25,48.3,111.8,39.5,87.8,45.1,11.7,32.8,35.5,21.1,27.3,77.3,11.2,31.5,42.6,22.4,14.8,7.1,3.5,5.9,22.3,21.9,-7.8
Houston Rockets,40,10,30,0.25,48.3,109.1,39,88.1,44.3,11.6,35.2,33,19.5,25.4,76.7,13.2,33.6,46.8,21.8,17,7.5,4.6,5.9,20.7,21.7,-6.8