,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
"
Milwaukee Bucks",61,44,17,0.721,48.4,114.9,41.9,90.4,46.4,14.4,40.1,35.9,16.6,22.6,73.5,11.6,37.8,49.4,24.7,14.9,6.6,4.9,4.2,18.4,19.1,3.8,
"
Boston Celtics",62,44,18,0.710,48.7,117.7,41.9,88.2,47.5,15.9,42.1,37.7,18.0,21.9,82.4,9.6,35.4,45.0,26.3,13.5,6.3,5.3,3.9,19.1,19.3,5.7,
"
Denver Nuggets",63,44,19,0.698,48.2,117.2,44.1,86.4,51.0,12.2,31.2,39.2,16.8,22.4,75.1,10.0,33.0,43.0,29.3,14.9,7.5,4.4,4.4,19.0,19.8,4.4,
"
Philadelphia 76ers",60,39,21,0.650,48.4,113.9,40.3,83.8,48.0,12.6,32.8,38.3,20.8,25.1,83.0,8.6,32.0,40.6,24.9,13.8,7.9,4.7,4.8,20.4,19.9,3.7,
"
Memphis Grizzlies",60,37,23,0.617,48.2,116.0,43.4,92.6,46.9,11.2,32.9,34.0,18.0,24.9,72.2,12.9,34.9,47.8,25.2,14.1,8.5,6.0,5.4,20.1,20.9,4.1,
"
Cleveland Cavaliers",64,39,25,0.609,48.5,111.9,41.3,84.5,48.8,11.5,31.5,36.4,17.9,22.9,78.2,9.7,32.1,41.8,24.9,13.8,7.1,4.4,4.2,18.7,20.9,5.4,
"
Sacramento Kings",61,36,25,0.590,48.4,120.7,43.6,87.6,49.8,13.4,36.5,36.8,20.1,25.1,79.9,9.2,33.0,42.2,27.1,14.3,7.0,3.3,4.0,19.9,21.1,2.7,
"
New York Knicks",63,36,27,0.571,48.7,114.7,41.4,89.5,46.2,12.2,35.1,34.8,19.7,25.6,77.0,12.8,34.2,47.0,22.3,12.9,6.0,4.0,4.6,20.7,20.9,2.8,
"
Brooklyn Nets",61,34,27,0.557,48.1,113.6,42.0,84.3,49.9,12.6,32.5,38.7,17.0,21.3,79.6,7.7,32.4,40.1,25.6,14.1,7.0,6.4,3.7,21.9,18.3,0.7,
"
Miami Heat",62,33,29,0.532,48.3,108.0,38.8,86.3,45.0,11.6,35.0,33.3,18.7,22.7,82.4,10.0,31.3,41.4,23.4,13.4,8.4,3.1,3.8,18.9,20.0,-0.5,
"
Phoenix Suns",62,33,29,0.532,48.3,112.7,41.6,89.7,46.4,12.3,32.5,37.8,17.1,21.7,79.0,12.0,32.2,44.3,27.0,14.1,7.3,5.0,4.0,21.0,20.3,1.4,
"
Golden State Warriors",62,32,30,0.516,48.4,118.4,43.0,90.2,47.7,16.6,43.1,38.6,15.8,20.0,78.9,10.1,34.0,44.0,29.7,16.4,7.1,3.7,4.1,21.9,18.5,0.5,
"
LA Clippers",64,33,31,0.516,48.5,112.5,40.5,86.0,47.1,12.8,33.6,38.1,18.6,23.8,78.2,9.8,33.6,43.4,23.1,14.3,7.0,4.6,4.3,19.6,19.7,0.0,
"
Dallas Mavericks",63,32,31,0.508,48.6,113.5,39.6,83.6,47.4,14.9,40.7,36.7,19.5,26.0,74.8,8.0,30.8,38.8,22.5,12.3,6.5,3.8,4.0,20.9,22.5,0.8,
"
Atlanta Hawks",62,31,31,0.500,48.4,116.9,44.2,92.1,47.9,10.7,30.4,35.3,17.8,21.8,81.9,10.6,33.2,43.9,24.6,12.7,6.9,5.0,5.0,19.0,19.8,-0.1,
"
Minnesota Timberwolves",64,32,32,0.500,48.2,115.4,42.8,87.2,49.1,11.9,33.5,35.6,17.9,23.3,76.6,9.1,32.5,41.5,25.4,15.8,8.2,5.5,4.0,21.7,20.0,-0.2,
"
Toronto Raptors",63,31,32,0.492,48.3,112.6,41.2,90.9,45.3,10.8,32.2,33.5,19.3,24.8,77.9,12.7,30.3,43.0,23.2,11.8,9.2,5.3,4.6,20.3,20.7,0.7,
"
Utah Jazz",63,31,32,0.492,48.3,117.2,42.1,89.3,47.2,13.9,38.8,35.9,19.0,24.2,78.7,12.0,33.2,45.2,25.6,15.4,6.4,5.2,4.8,20.6,21.2,0.5,
"
New Orleans Pelicans",62,30,32,0.484,48.5,114.3,42.0,88.1,47.7,10.7,30.4,35.2,19.5,25.0,78.1,11.0,32.9,43.9,25.6,14.9,8.5,4.1,5.0,20.7,20.8,0.8,
"
Portland Trail Blazers",61,29,32,0.475,48.2,115.0,40.8,84.6,48.2,13.2,35.0,37.7,20.2,25.2,80.3,9.8,31.4,41.2,24.2,14.6,6.4,4.3,4.1,20.6,21.3,-0.4,
"
Washington Wizards",61,29,32,0.475,48.2,113.1,41.9,86.5,48.4,11.4,31.8,35.8,18.0,23.0,78.4,9.4,34.5,43.9,25.2,14.2,6.8,5.3,4.7,19.1,19.5,-0.1,
"
Los Angeles Lakers",62,29,33,0.468,48.6,116.9,43.1,89.7,48.0,10.5,31.1,33.8,20.2,26.1,77.5,9.8,36.0,45.8,25.2,14.2,6.4,4.6,5.3,18.5,21.2,-1.0,
"
Oklahoma City Thunder",61,28,33,0.459,48.6,117.8,43.5,92.8,46.9,12.2,33.7,36.2,18.6,23.2,80.1,11.5,32.3,43.8,24.7,13.4,8.3,4.7,5.5,21.4,20.3,1.1,
"
Chicago Bulls",62,28,34,0.452,48.4,113.0,42.3,86.7,48.8,10.3,28.7,35.9,18.0,22.2,80.9,8.5,34.4,42.9,24.2,13.9,7.5,4.5,4.9,19.4,18.9,0.7,
"
Indiana Pacers",63,28,35,0.444,48.2,115.1,41.3,89.4,46.1,13.9,38.2,36.4,18.7,23.5,79.5,10.0,31.6,41.6,26.6,15.0,7.9,5.9,5.1,21.3,20.2,-2.3,
"
Orlando Magic",62,26,36,0.419,48.2,110.6,40.0,85.2,46.9,10.6,30.6,34.7,20.1,25.5,78.8,10.1,32.8,42.8,22.7,15.2,7.1,4.6,5.1,20.2,20.6,-2.7,
"
Charlotte Hornets",63,20,43,0.317,48.5,112.6,42.0,92.0,45.6,10.8,32.9,32.8,17.9,23.9,75.0,11.7,33.4,45.1,25.1,13.8,8.1,5.0,5.8,20.7,20.6,-5.7,
"
Detroit Pistons",62,15,47,0.242,48.4,111.7,39.7,87.5,45.4,11.6,33.0,35.2,20.6,26.8,77.1,11.0,31.6,42.5,22.8,15.0,7.2,3.8,5.5,22.4,21.6,-7.5,
"
San Antonio Spurs",62,15,47,0.242,48.3,112.2,42.9,91.8,46.7,10.5,30.8,34.0,15.9,21.3,74.5,11.9,31.2,43.1,26.8,15.5,7.0,3.9,5.1,20.3,18.5,-10.2,
"
Houston Rockets",61,13,48,0.213,48.2,109.7,39.9,88.6,45.0,10.8,33.1,32.5,19.2,25.5,75.4,13.2,33.3,46.4,22.6,16.8,7.1,4.9,5.9,20.6,21.1,-8.9,